Course_Name,Number of Classes
PPHA ,1
MAPS ,1
GEEZ ,1
AANL ,2
NELG ,3
KAZK ,3
CRES ,3
UZBK ,4
YDDH ,5
ARAM ,5
CZEC ,6
URDU ,6
ARME ,6
TBTN ,6
TAML ,6
SANS ,6
KREY ,7
MOGK ,7
NORW ,7
AKKD ,7
EGPT ,7
SWAH ,7
BANG ,7
POLI ,8
SUMR ,8
PERS ,8
ASLG ,8
IRHU ,9
BASQ ,9
SCPD ,10
BCSN ,11
MARA ,12
DIGS ,12
HIND ,12
SSAD ,14
RUSS ,14
NEAA ,14
DEMS ,15
GREK ,16
MACS ,17
CATA ,18
LATN ,18
JAPN ,18
KORE ,18
HEBR ,20
COGS ,20
TURK ,20
ENSC ,21
GISC ,22
PORT ,22
DATA ,23
ECMA ,23
PHYS ,29
PHSC ,29
ASTR ,30
BUSN ,32
GRMN ,36
HUMA ,39
GEOS ,42
JWSC ,45
PHIL ,45
STAT ,46
LLSO ,48
SOCI ,49
ARAB ,50
LING ,51
CHDV ,51
TAPS ,52
NSCI ,53
CLCV ,57
CHIN ,58
ARCH ,59
PSYC ,62
RDIN ,63
MDVL ,63
MENG ,65
EALC ,66
CHEM ,67
MATH ,68
HMRT ,72
SALC ,73
REES ,74
LACS ,76
FNDL ,77
ARTV ,78
PLSC ,78
CMST ,78
CMLT ,80
MUSI ,81
ITAL ,82
GLST ,86
CMSC ,86
HIPS ,88
FREN ,92
ECON ,93
SPAN ,93
CRWR ,96
CEGU ,98
MAAD ,101
ARTH ,103
NEHC ,103
SOSC ,107
PBPL ,110
ENST ,122
ANTH ,129
RLST ,130
GNSE ,143
ENGL ,153
BIOS ,167
HIST ,185
